  time        pos_x        pos_y        vel_x        vel_y    BCI_pos_x    BCI_pos_y    BCI_vel_x    BCI_vel_y
 7.538   201.257469   254.256825    16.675606   -12.506704     0.000000     0.000000     0.000000     0.000000
 7.597   202.658333   254.023348    23.742697    -3.957116     0.000000     0.000000     0.000000     0.000000
 7.657   203.358765   253.089438    11.674322   -15.565762     0.000000     0.000000     0.000000     0.000000
 7.715   207.094402   252.389006    64.411913   -12.077234     0.000000     0.000000     0.000000     0.000000
 7.764   207.327879   252.389006     4.764459     0.000000     0.000000     0.000000     0.000000     0.000000
 7.829   207.327879   252.389006     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 7.887   207.327879   252.389006     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 7.944   207.327879   252.389006     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 8.001   207.327879   252.389006     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 8.063   207.327879   252.389006     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 8.121   207.327879   252.389006     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 8.171   207.327879   252.389006     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 8.223     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 8.273   207.327879   252.389006  4064.809618  4948.264862     0.000000     0.000000     0.000000     0.000000
 8.327   207.327879   252.389006     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 8.388   207.327879   252.389006     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 8.452   207.327879   252.389006     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 8.510   207.327879   252.389006     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 8.571   207.327879   252.389006     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 8.629   207.327879   252.389006     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 8.680   207.327879   252.389006     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 8.744   207.327879   252.389006     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 8.801   207.327879   252.389006     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 8.854   209.195698   247.485982    35.243793   -92.514957     0.000000     0.000000     0.000000     0.000000
 8.904   220.169133   233.243864   219.469892  -284.843902     0.000000     0.000000     0.000000     0.000000
 8.963   222.036952   230.909091    31.656929   -39.571161     0.000000     0.000000     0.000000     0.000000
 9.016   222.036952   230.909091     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 9.072   222.036952   230.909091     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 9.122   222.036952   230.909091     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 9.179   222.036952   230.909091     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 9.245   222.036952   230.909091     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 9.297   222.036952   230.909091     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 9.351   222.036952   230.909091     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 9.409   222.036952   230.909091     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 9.469   222.036952   230.909091     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 9.527   222.036952   230.909091     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 9.583   222.036952   230.909091     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 9.645   222.036952   230.909091     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 9.707   222.036952   230.909091     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 9.765   222.036952   230.909091     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 9.827   222.036952   230.909091     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 9.891   222.737384   227.640408    10.944103   -51.072482     0.000000     0.000000     0.000000     0.000000
 9.944   222.970861   223.671293     4.404638   -74.878849     0.000000     0.000000     0.000000     0.000000
10.004   222.970861   223.671293     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
10.053   222.970861   222.270429     0.000000   -28.592621     0.000000     0.000000     0.000000     0.000000
10.103   222.970861   222.270429     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
10.155   222.970861   222.270429     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
10.212   222.970861   222.270429     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
10.262   222.970861   222.270429     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
10.325   222.970861   222.270429     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
10.382   222.970861   222.270429     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
10.443   222.970861   222.270429     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
10.494   222.970861   222.270429     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
10.554   222.970861   222.270429     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
10.612   222.737384   222.036952    -4.025047    -4.025047     0.000000     0.000000     0.000000     0.000000
10.675   222.737384   222.970861     0.000000    14.825127     0.000000     0.000000     0.000000     0.000000
10.731   227.640408   229.975182    87.546930   125.067043     0.000000     0.000000     0.000000     0.000000
